DATE, BENCHMARK NAME ,"RATE
(PERCENT)",VOLUME (US$BILLIONS)
2018-04-02,SOFR,1.8,849
2018-04-03,SOFR,1.83,825
2018-04-04,SOFR,1.74,859
2018-04-05,SOFR,1.75,829
2018-04-06,SOFR,1.75,845
2018-04-09,SOFR,1.75,833
2018-04-10,SOFR,1.75,811
2018-04-11,SOFR,1.76,811
2018-04-12,SOFR,1.73,871
2018-04-13,SOFR,1.72,776
2018-04-16,SOFR,1.77,770
2018-04-17,SOFR,1.76,729
2018-04-18,SOFR,1.75,738
2018-04-19,SOFR,1.73,745
2018-04-20,SOFR,1.72,726
2018-04-23,SOFR,1.7,755
2018-04-24,SOFR,1.71,747
2018-04-25,SOFR,1.71,728
2018-04-26,SOFR,1.72,725
2018-04-27,SOFR,1.72,732
2018-04-30,SOFR,1.77,775
2018-05-01,SOFR,1.76,761
2018-05-02,SOFR,1.75,753
2018-05-03,SOFR,1.74,759
2018-05-04,SOFR,1.72,752
2018-05-07,SOFR,1.71,760
2018-05-08,SOFR,1.72,746
2018-05-09,SOFR,1.72,783
2018-05-10,SOFR,1.73,737
2018-05-11,SOFR,1.73,746
2018-05-14,SOFR,1.75,741
2018-05-15,SOFR,1.79,770
2018-05-16,SOFR,1.75,754
2018-05-17,SOFR,1.74,754
2018-05-18,SOFR,1.73,750
2018-05-21,SOFR,1.69,772
2018-05-22,SOFR,1.65,748
2018-05-23,SOFR,1.67,729
2018-05-24,SOFR,1.74,772
2018-05-25,SOFR,1.73,749
2018-05-29,SOFR,1.72,796
2018-05-30,SOFR,1.72,801
2018-05-31,SOFR,1.81,872
2018-06-01,SOFR,1.81,807
2018-06-04,SOFR,1.8,825
2018-06-05,SOFR,1.75,797
2018-06-06,SOFR,1.73,805
2018-06-07,SOFR,1.71,813
2018-06-08,SOFR,1.69,806
2018-06-11,SOFR,1.69,791
2018-06-12,SOFR,1.67,774
2018-06-13,SOFR,1.71,817
2018-06-14,SOFR,1.9,818
2018-06-15,SOFR,1.91,802
2018-06-18,SOFR,1.9,799
2018-06-19,SOFR,1.88,799
2018-06-20,SOFR,1.87,769
2018-06-21,SOFR,1.87,753
2018-06-22,SOFR,1.92,742
2018-06-25,SOFR,1.91,755
2018-06-26,SOFR,1.9,757
2018-06-27,SOFR,1.9,760
2018-06-28,SOFR,1.93,768
2018-06-29,SOFR,2.12,702
2018-07-02,SOFR,2.04,775
2018-07-03,SOFR,2.0,768
2018-07-05,SOFR,1.97,807
2018-07-06,SOFR,1.93,760
2018-07-09,SOFR,1.89,784
2018-07-10,SOFR,1.89,762
2018-07-11,SOFR,1.89,766
2018-07-12,SOFR,1.9,747
2018-07-13,SOFR,1.9,735
2018-07-16,SOFR,1.95,767
2018-07-17,SOFR,1.92,766
2018-07-18,SOFR,1.9,783
2018-07-19,SOFR,1.9,769
2018-07-20,SOFR,1.88,773
2018-07-23,SOFR,1.87,764
2018-07-24,SOFR,1.9,775
2018-07-25,SOFR,1.87,753
2018-07-26,SOFR,1.9,784
2018-07-27,SOFR,1.88,774
2018-07-30,SOFR,1.88,768
2018-07-31,SOFR,1.93,799
2018-08-01,SOFR,1.88,786
2018-08-02,SOFR,1.91,781
2018-08-03,SOFR,1.86,763
2018-08-06,SOFR,1.86,763
2018-08-07,SOFR,1.87,732
2018-08-08,SOFR,1.88,738
2018-08-09,SOFR,1.91,761
2018-08-10,SOFR,1.9,735
2018-08-13,SOFR,1.91,733
2018-08-14,SOFR,1.93,729
2018-08-15,SOFR,1.98,807
2018-08-16,SOFR,1.99,782
2018-08-17,SOFR,1.9,799
2018-08-20,SOFR,1.9,778
2018-08-21,SOFR,1.9,772
